"","zip","scrapedate","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Energimrke","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Tidligere_salgspris","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Boligydelse","Forbrugsafh__forhold","Teknisk_pris"
"1","6200 Aabenraa","2022-08-12","93 m²","101 m²","408 m²","6/5","2","1926","G","940 kr.","5.396 kr.","413 dage","Vis historik","30.000 kr.","2.678 kr.","2.198 kr.",NA,NA,NA,NA,NA
"2","6200 Aabenraa","2022-08-12","106 m²","115 m²","733 m²","3/2","1","1967","E",NA,NA,NA,"Vis historik","35.000 kr.","3.731 kr.","2.995 kr.",NA,NA,NA,NA,NA
"3","6200 Aabenraa","2022-08-12","108 m²","146 m²","681 m²","3/1","2","1963","C","1.885 kr.","8.185 kr.","102 dage","Vis historik","60.000 kr.","5.976 kr.","4.909 kr.","1974","84 m²",NA,NA,NA
"4","6200 Aabenraa","2022-08-12","171 m²","172 m²","723 m²","4/2","2","1927","D","1.159 kr.","6.948 kr.","188 dage",NA,"60.000 kr.","6.384 kr.","5.126 kr.","1990",NA,NA,NA,NA
"5","6200 Aabenraa","2022-08-12","153 m²","132 m²","163 m²","4/2","3","1780","F","1.381 kr.","7.538 kr.","124 dage",NA,"50.000 kr.","5.320 kr.","4.269 kr.","1973","16 m²",NA,NA,NA
"6","6200 Aabenraa","2022-08-12","170 m²","183 m²","1.888 m²","6/4",NA,"1968","E","1.581 kr.","6.530 kr.","98 dage",NA,"60.000 kr.","5.964 kr.","4.898 kr.",NA,NA,NA,NA,NA
"7","6200 Aabenraa","2022-08-12","136 m²","202 m²","1.162 m²","6/4","3","1953","D","1.446 kr.","7.896 kr.","143 dage",NA,"80.000 kr.","9.232 kr.","7.275 kr.","1965","87 m²",NA,NA,NA
"8","6200 Aabenraa","2022-08-12","153 m²","167 m²","872 m²","5/3","3","1950","D",NA,NA,NA,"Vis historik","40.000 kr.","3.858 kr.","3.095 kr.","1979","5 m²",NA,NA,NA
"9","6200 Aabenraa","2022-08-12","185 m²","216 m²","712 m²","5/4","2","1928","E","1.325 kr.","6.921 kr.","172 dage",NA,"75.000 kr.","8.658 kr.","6.823 kr.",NA,NA,NA,NA,NA
"10","9440 Aabybro","2022-08-12","202 m²","200 m²","5.500 m²","5/3","2","1887",NA,"1.187 kr.","1.995 kr.","2.093 dage",NA,"25.000 kr.","2.146 kr.","1.717 kr.",NA,NA,NA,NA,NA
"11","9440 Aabybro","2022-08-12","180 m²","223 m²","736 m²","5/4","2","1900","E","1.814 kr.","2.220 kr.","147 dage",NA,"25.000 kr.","2.674 kr.","2.137 kr.",NA,NA,NA,NA,NA
"12","3720 Aakirkeby","2022-08-12","105 m²","107 m²","261 m²","4/2","3","1914","D","1.381 kr.","6.495 kr.","98 dage",NA,"35.000 kr.","3.726 kr.","2.975 kr.","1980","10 m²",NA,NA,NA
"13","9620 Aalestrup","2022-08-12","95 m²","145 m²","505 m²","3/2","3","1942","D","1.205 kr.","3.434 kr.","477 dage","Vis historik","25.000 kr.","2.497 kr.","2.051 kr.",NA,"65 m²",NA,NA,NA
"14","9620 Aalestrup","2022-08-12","138 m²","145 m²","895 m²","5/4","1","1963","E","1.342 kr.","2.745 kr.","623 dage",NA,"25.000 kr.","2.151 kr.","1.729 kr.",NA,NA,NA,NA,NA
"15","9600 Aars","2022-08-12","83 m²","119 m²","704 m²","3/2","2","1960","D","1.062 kr.","5.874 kr.","794 dage",NA,"35.000 kr.","3.903 kr.","3.107 kr.",NA,"83 m²",NA,NA,NA
"16","9600 Aars","2022-08-12","188 m²","194 m²","2.088 m²","5/3","2","1905","F",NA,NA,NA,NA,"25.000 kr.","2.664 kr.","2.118 kr.","1985",NA,NA,NA,NA
"17","9600 Aars","2022-08-12","112 m²","178 m²","3.142 m²","4/3","3","1925","E","1.361 kr.","3.904 kr.","1.654 dage",NA,"35.000 kr.","3.749 kr.","2.984 kr.","1977","6 m²",NA,NA,NA
"18","5560 Aarup","2022-08-12","188 m²","220 m²","10.000 m²","6/4","1","1862","D","1.629 kr.","7.705 kr.","129 dage","Vis historik","85.000 kr.","8.244 kr.","6.741 kr.","2006",NA,NA,NA,NA
"19","5560 Aarup","2022-08-12","232 m²","242 m²","1.017 m²","5/4","1","1978","C","2.580 kr.","9.897 kr.","136 dage","Vis historik","120.000 kr.","11.573 kr.","9.463 kr.","2004","50 m²",NA,NA,NA
"20","5560 Aarup","2022-08-12","77 m²","90 m²","263 m²","3/2","3","1880","D",NA,NA,NA,NA,"25.000 kr.","2.674 kr.","2.136 kr.",NA,"30 m²",NA,NA,NA
"21","5560 Aarup","2022-08-12","229 m²","256 m²","3.655 m²","7/4","1","2002","C","2.933 kr.","14.043 kr.","86 dage",NA,"180.000 kr.","20.716 kr.","16.239 kr.","2010","21 m²",NA,NA,NA
"22","5560 Aarup","2022-08-12","164 m²",NA,"735 m²","4/3","2","1964","E","1.681 kr.","6.067 kr.","105 dage",NA,"50.000 kr.","4.954 kr.","4.051 kr.","1975",NA,NA,NA,NA
"23","5560 Aarup","2022-08-12","116 m²","126 m²","600 m²","4/3","1","1963","E","1.245 kr.","6.310 kr.","301 dage",NA,"40.000 kr.","3.905 kr.","3.202 kr.","1972",NA,NA,NA,NA
"24","5560 Aarup","2022-08-12","165 m²","189 m²","714 m²","7/5","1","1964","D","1.751 kr.","10.026 kr.","161 dage",NA,"95.000 kr.","10.062 kr.","8.041 kr.",NA,"50 m²",NA,NA,NA
"25","5320 Agedrup","2022-08-12","287 m²","291 m²","1.346 m²","12/10","2","1900","D","2.634 kr.","13.729 kr.","449 dage",NA,"200.000 kr.","21.285 kr.","17.155 kr.","2006",NA,NA,NA,NA
"26","5320 Agedrup","2022-08-12","150 m²","146 m²","356 m²","6/5","2","2001","B","1.698 kr.","12.295 kr.","138 dage",NA,"90.000 kr.","8.879 kr.","7.317 kr.",NA,NA,NA,NA,NA
"27","5320 Agedrup","2022-08-12","143 m²","148 m²","820 m²","5/4","1","1965","D","2.129 kr.","14.831 kr.","157 dage",NA,"110.000 kr.","11.701 kr.","9.430 kr.","1977",NA,NA,NA,NA
"28","6753 Agerbæk","2022-08-12","205 m²","223 m²","5.586 m²","6/6","1","1840","E","1.866 kr.","5.601 kr.","164 dage","Vis historik","65.000 kr.","6.345 kr.","5.235 kr.","1976",NA,NA,NA,NA
"29","6753 Agerbæk","2022-08-12","112 m²","125 m²","1.467 m²","4/3","3","1959","E","1.761 kr.","6.384 kr.","318 dage",NA,"40.000 kr.","4.310 kr.","3.477 kr.",NA,"32 m²",NA,NA,NA
"30","6753 Agerbæk","2022-08-12","130 m²","142 m²","805 m²","4/4","1","1977","D","1.495 kr.","5.951 kr.","93 dage",NA,"45.000 kr.","4.501 kr.","3.631 kr.",NA,NA,NA,NA,NA
"31","6753 Agerbæk","2022-08-12","128 m²",NA,"606 m²","4/4","2","1930","G",NA,NA,NA,NA,"25.000 kr.","928 kr.","749 kr.",NA,NA,NA,NA,NA
"32","6753 Agerbæk","2022-08-12","128 m²","133 m²","711 m²","4/3","1","1963","D","1.429 kr.","6.353 kr.","525 dage",NA,"45.000 kr.","4.297 kr.","3.544 kr.",NA,NA,NA,NA,NA
"33","6753 Agerbæk","2022-08-12","113 m²","116 m²","780 m²","4/3","1","1973","E","1.533 kr.","6.897 kr.","283 dage",NA,"40.000 kr.","4.306 kr.","3.473 kr.",NA,NA,NA,NA,NA
"34","6753 Agerbæk","2022-08-12","96 m²","108 m²","962 m²","3/2","2","1900","G","1.394 kr.","3.657 kr.","359 dage","Vis historik","25.000 kr.","1.955 kr.","1.611 kr.",NA,NA,NA,NA,NA
"35","6534 Agerskov","2022-08-12","280 m²","306 m²","2.053 m²","7/5","1","1940","F","1.675 kr.","2.925 kr.","409 dage",NA,"45.000 kr.","4.229 kr.","3.517 kr.","1985","66 m²",NA,NA,NA
"36","2620 Albertslund","2022-08-12","108 m²","111 m²","446 m²","3/2","1","1986","C","4.416 kr.","34.216 kr.","93 dage","Vis historik","190.000 kr.","20.013 kr.","16.083 kr.",NA,NA,NA,NA,NA
"37","2620 Albertslund","2022-08-12","125 m²",NA,"433 m²","4/3","2","1877","D",NA,NA,NA,"Vis historik","180.000 kr.","18.940 kr.","15.221 kr.","1977",NA,NA,NA,NA
"38","8961 Allingåbro","2022-08-12","112 m²","143 m²","855 m²","3/2","2","1870","G","1.064 kr.","2.762 kr.","133 dage","Vis historik","25.000 kr.","2.127 kr.","1.699 kr.",NA,NA,NA,NA,NA
"39","6051 Almind","2022-08-12","130 m²","140 m²","501 m²","6/5","1","1827","F","2.164 kr.","9.250 kr.","315 dage",NA,"65.000 kr.","6.880 kr.","5.532 kr.",NA,NA,NA,NA,NA
"40","6051 Almind","2022-08-12","171 m²","174 m²","2.521 m²","5/4","2","1900","F","1.612 kr.","8.017 kr.","101 dage",NA,"70.000 kr.","7.406 kr.","5.954 kr.",NA,NA,NA,NA,NA
"41","6051 Almind","2022-08-12","160 m²","177 m²","1.116 m²","5/3","1","1977","D","2.404 kr.","10.452 kr.","903 dage",NA,"95.000 kr.","9.788 kr.","7.870 kr.","1984",NA,NA,NA,NA
"42","6823 Ansager","2022-08-12","128 m²",NA,"362 m²","2/2","3","1932","C","1.292 kr.","7.773 kr.","100 dage",NA,"50.000 kr.","5.323 kr.","4.291 kr.",NA,"8 m²",NA,NA,NA
"43","6823 Ansager","2022-08-12","87 m²","95 m²","292 m²","3/2","2","1930","E","1.150 kr.","8.947 kr.","122 dage","Vis historik","45.000 kr.","4.544 kr.","3.663 kr.",NA,NA,NA,NA,NA
"44","6823 Ansager","2022-08-12","142 m²","146 m²","535 m²","5/4","3","1909","D","878 kr.","4.966 kr.","135 dage","Vis historik","40.000 kr.","3.700 kr.","3.052 kr.",NA,"8 m²",NA,NA,NA
"45","6823 Ansager","2022-08-12","155 m²","163 m²","752 m²","7/5","1","1978","C","1.567 kr.","7.331 kr.","114 dage",NA,"60.000 kr.","6.379 kr.","5.142 kr.","2004",NA,NA,NA,NA
"46","6823 Ansager","2022-08-12","167 m²","219 m²","957 m²","8/7","3","1976","D","1.534 kr.","5.137 kr.","128 dage","Vis historik","60.000 kr.","5.985 kr.","4.825 kr.",NA,"60 m²",NA,NA,NA
"47","6823 Ansager","2022-08-12","144 m²","177 m²","1.937 m²","4/1","1","1973","C","2.143 kr.","9.034 kr.","1.591 dage",NA,"80.000 kr.","7.817 kr.","6.446 kr.",NA,"75 m²",NA,NA,NA
"48","6823 Ansager","2022-08-12","89 m²","91 m²","773 m²","3/2","1","1961","D","1.171 kr.","9.835 kr.","140 dage",NA,"45.000 kr.","4.796 kr.","3.866 kr.",NA,NA,NA,NA,NA
"49","6823 Ansager","2022-08-12","102 m²","105 m²","350 m²","3/2","1","1913","C","1.120 kr.","4.762 kr.","466 dage",NA,"25.000 kr.","2.821 kr.","2.275 kr.","1998",NA,NA,NA,NA
"50","6823 Ansager","2022-08-12","137 m²","133 m²","374 m²","6/3","2","1910","D","1.379 kr.","5.226 kr.","249 dage","Vis historik","35.000 kr.","3.740 kr.","3.014 kr.",NA,NA,NA,NA,NA
"51","6823 Ansager","2022-08-12","232 m²","235 m²","20.500 m²","6/4",NA,"1936","B","2.095 kr.","8.489 kr.","309 dage","Vis historik","100.000 kr.","10.601 kr.","8.547 kr.","1979",NA,NA,NA,NA
"52","9510 Arden","2022-08-12","144 m²","168 m²","695 m²","4/2","1","1948","E","1.579 kr.","4.018 kr.","501 dage",NA,"35.000 kr.","3.628 kr.","2.899 kr.","1971","67 m²",NA,NA,NA
"53","9510 Arden","2022-08-12","141 m²","159 m²","924 m²","4/2","1","1974","D","1.546 kr.","4.245 kr.","129 dage","Vis historik","35.000 kr.","3.617 kr.","2.888 kr.",NA,NA,NA,NA,NA
"54","9510 Arden","2022-08-12","78 m²","112 m²","508 m²","3/2","2","1937","D","1.336 kr.","4.866 kr.","266 dage",NA,"30.000 kr.","2.743 kr.","2.243 kr.",NA,"74 m²",NA,NA,NA
"55","5970 Ærøskøbing","2022-08-12","175 m²","204 m²","918 m²","5/4","3","1911","F","1.422 kr.","4.877 kr.","119 dage",NA,"50.000 kr.","5.314 kr.","4.242 kr.",NA,"10 m²",NA,NA,NA
"56","5970 Ærøskøbing","2022-08-12","144 m²","157 m²","2.729 m²","6/5","2","1799","G","1.258 kr.","5.382 kr.","136 dage","Vis historik","45.000 kr.","4.511 kr.","3.601 kr.","1970",NA,NA,NA,NA
"57","5970 Ærøskøbing","2022-08-12","235 m²","325 m²","6.946 m²","12/8","3","1924","E","1.808 kr.","8.600 kr.","126 dage","Vis historik","140.000 kr.","13.582 kr.","11.100 kr.",NA,"18 m²",NA,NA,NA
"58","5970 Ærøskøbing","2022-08-12","73 m²","70 m²","155 m²","3/2","2","1863","B","1.379 kr.","34.214 kr.","146 dage",NA,"120.000 kr.","12.680 kr.","10.125 kr.","1972",NA,NA,NA,NA
"59","5970 Ærøskøbing","2022-08-12","197 m²","213 m²","1.301 m²","5/4","2","1968","D","2.798 kr.","22.512 kr.","134 dage","Vis historik","240.000 kr.","23.454 kr.","19.172 kr.","1998","40 m²",NA,NA,NA
"60","6818 Årre","2022-08-12","82 m²","201 m²","591 m²","3/2","2","1960","G","1.409 kr.","1.965 kr.","1.382 dage",NA,"25.000 kr.","2.126 kr.","1.713 kr.",NA,"82 m²",NA,NA,NA
"61","6818 Årre","2022-08-12","126 m²","132 m²","485 m²","4/3","1","1900","E","1.420 kr.","4.129 kr.","328 dage","Vis historik","30.000 kr.","2.696 kr.","2.222 kr.","1966",NA,NA,NA,NA
"62","6818 Årre","2022-08-12","158 m²","163 m²","682 m²","7/4","2","1900","D","1.594 kr.","3.344 kr.","329 dage",NA,"30.000 kr.","3.009 kr.","2.427 kr.","1999",NA,NA,NA,NA
"63","6818 Årre","2022-08-12","201 m²","202 m²","1.190 m²","4/4","3","1932","D","1.647 kr.","4.941 kr.","1.031 dage",NA,"50.000 kr.","5.337 kr.","4.302 kr.",NA,"15 m²",NA,NA,NA
"64","6818 Årre","2022-08-12","114 m²","136 m²","767 m²","4/4","3","1951","F","1.459 kr.","4.596 kr.","157 dage","Vis historik","35.000 kr.","3.444 kr.","2.779 kr.",NA,"36 m²",NA,NA,NA
"65","6818 Årre","2022-08-12","121 m²","131 m²","816 m²","5/3","3","1941","D","1.495 kr.","8.588 kr.","153 dage","Vis historik","60.000 kr.","6.025 kr.","4.861 kr.","2001","10 m²",NA,NA,NA
"66","5792 Årslev","2022-08-12","173 m²",NA,"1.072 m²","5/4",NA,"2017","A2020","2.591 kr.","25.983 kr.","85 dage",NA,"225.000 kr.","23.756 kr.","18.959 kr.",NA,NA,NA,NA,NA
"67","5792 Årslev","2022-08-12","117 m²","123 m²","1.174 m²","4/3","1","1908","C","1.291 kr.","11.341 kr.","191 dage","Vis historik","70.000 kr.","7.427 kr.","5.931 kr.",NA,"15 m²",NA,NA,NA
"68","5792 Årslev","2022-08-12","130 m²","184 m²","852 m²","4/3","2","1967","D",NA,NA,NA,NA,"90.000 kr.","9.528 kr.","7.603 kr.",NA,"130 m²",NA,NA,NA
"69","9340 Asaa","2022-08-12","58 m²","84 m²","368 m²","2/1","2","1936",NA,"1.357 kr.","5.060 kr.","409 dage",NA,"25.000 kr.","2.291 kr.","1.824 kr.",NA,"58 m²",NA,NA,NA
"70","9340 Asaa","2022-08-12","100 m²","109 m²","471 m²","3/3","2","1934","D","1.158 kr.","4.578 kr.","308 dage",NA,"25.000 kr.","2.704 kr.","2.152 kr.",NA,NA,NA,NA,NA
"71","9340 Asaa","2022-08-12","100 m²","98 m²","483 m²","4/2","2","1933","E","1.213 kr.","6.888 kr.","93 dage","Vis historik","35.000 kr.","3.628 kr.","2.889 kr.","2007",NA,NA,NA,NA
"72","4792 Askeby","2022-08-12","360 m²","191 m²","13.518 m²","11/7","2","1875","E","4.535 kr.","32.461 kr.","750 dage",NA,"310.000 kr.","32.835 kr.","26.453 kr.","1979",NA,NA,NA,NA
"73","4792 Askeby","2022-08-12","120 m²","119 m²","823 m²","3/2","1","1850","G","1.925 kr.","7.143 kr.","92 dage","Vis historik","45.000 kr.","4.551 kr.","3.665 kr.",NA,NA,NA,NA,NA
"74","4792 Askeby","2022-08-12","65 m²","69 m²","920 m²","3/2","2","1775",NA,"1.259 kr.","4.275 kr.","140 dage",NA,"25.000 kr.","1.571 kr.","1.265 kr.",NA,NA,NA,NA,NA
"75","4792 Askeby","2022-08-12","226 m²",NA,"1.412 m²","5/3","1","1900","E","2.444 kr.","7.500 kr.","556 dage",NA,"85.000 kr.","9.029 kr.","7.273 kr.","1992",NA,NA,NA,NA
"76","4792 Askeby","2022-08-12","102 m²","107 m²","1.261 m²","4/3","2","1939","D","1.678 kr.","9.299 kr.","443 dage","Vis historik","50.000 kr.","5.330 kr.","4.293 kr.",NA,NA,NA,NA,NA
"77","4792 Askeby","2022-08-12","113 m²","120 m²","549 m²","4/3","2","1948","G","1.700 kr.","3.542 kr.","133 dage","Vis historik","25.000 kr.","2.286 kr.","1.841 kr.",NA,"2 m²",NA,NA,NA
"78","4792 Askeby","2022-08-12","58 m²","60 m²","4.669 m²","3/2","1","1825",NA,"1.129 kr.","9.917 kr.","155 dage",NA,"30.000 kr.","3.216 kr.","2.590 kr.",NA,NA,NA,NA,NA
"79","4792 Askeby","2022-08-12","99 m²","119 m²","1.162 m²","4/3","2","1939","G","1.719 kr.","11.345 kr.","107 dage","Vis historik","70.000 kr.","7.180 kr.","5.779 kr.",NA,NA,NA,NA,NA
"80","4550 Asnæs","2022-08-12","152 m²","174 m²","19.714 m²","4/3","2","1900","F","2.712 kr.","10.316 kr.","620 dage","Vis historik","90.000 kr.","8.969 kr.","7.324 kr.","1998",NA,NA,NA,NA
"81","4550 Asnæs","2022-08-12","173 m²","276 m²","948 m²","6/4","3","1954","D","3.041 kr.","9.040 kr.","542 dage",NA,"125.000 kr.","11.159 kr.","9.370 kr.","1973","97 m²",NA,NA,NA
"82","5466 Asperup","2022-08-12","183 m²","181 m²","905 m²","7/5","2","1999","C","2.052 kr.","10.470 kr.","442 dage",NA,"95.000 kr.","10.022 kr.","8.031 kr.",NA,NA,NA,NA,NA
"83","5466 Asperup","2022-08-12","61 m²","117 m²","1.315 m²","4/4","2","1827","E","1.972 kr.","21.325 kr.","291 dage","Vis historik","125.000 kr.","12.088 kr.","9.917 kr.",NA,NA,NA,NA,NA
"84","5466 Asperup","2022-08-12","160 m²","159 m²","753 m²","5/4","2","1877","D","1.597 kr.","7.516 kr.","156 dage",NA,"60.000 kr.","6.620 kr.","5.309 kr.",NA,NA,NA,NA,NA
"85","5610 Assens","2022-08-12","235 m²","242 m²","3.200 m²","7/5","1","1800","G","2.914 kr.","3.285 kr.","140 dage","Vis historik","40.000 kr.","4.266 kr.","3.408 kr.","1950",NA,NA,NA,NA
"86","5610 Assens","2022-08-12","63 m²","65 m²","45 m²","3/2","3","1800","F","1.427 kr.","9.154 kr.","129 dage","Vis historik","30.000 kr.","3.220 kr.","2.572 kr.","1985","11 m²",NA,NA,NA
"87","5610 Assens","2022-08-12","125 m²",NA,"170 m²","4/2","2","1877","E","1.757 kr.","7.160 kr.","233 dage",NA,"45.000 kr.","4.797 kr.","3.830 kr.","1950",NA,NA,NA,NA
"88","5610 Assens","2022-08-12","162 m²","168 m²","713 m²","5/4","1","1962","C","1.912 kr.","8.185 kr.","472 dage",NA,"70.000 kr.","6.824 kr.","5.581 kr.",NA,NA,NA,NA,NA
"89","5610 Assens","2022-08-12","250 m²","275 m²","2.585 m²","7/6","2","1851","F","2.310 kr.","7.255 kr.","363 dage",NA,"100.000 kr.","10.568 kr.","8.438 kr.","1990",NA,NA,NA,NA
"90","5610 Assens","2022-08-12","108 m²","117 m²","911 m²","3/2","1","1970","F","1.579 kr.","6.795 kr.","136 dage","Vis historik","40.000 kr.","4.269 kr.","3.410 kr.",NA,NA,NA,NA,NA
"91","5610 Assens","2022-08-12","126 m²","134 m²","1.385 m²","3/2","3","1925","E","1.519 kr.","5.597 kr.","182 dage",NA,"40.000 kr.","3.739 kr.","3.057 kr.",NA,"6 m²",NA,NA,NA
"92","5610 Assens","2022-08-12","195 m²","206 m²","15.000 m²","4/2","4","1800","D","4.016 kr.","7.257 kr.","1.961 dage",NA,"75.000 kr.","7.919 kr.","6.323 kr.",NA,NA,NA,NA,NA
"93","5610 Assens","2022-08-12","105 m²","116 m²","1.031 m²","3/2","2","1952","C","1.304 kr.","7.974 kr.","154 dage","Vis historik","50.000 kr.","4.927 kr.","3.937 kr.","2007",NA,NA,NA,NA
"94","5610 Assens","2022-08-12","153 m²","158 m²","1.101 m²","6/4","2","1850","D","2.007 kr.","10.095 kr.","185 dage",NA,"80.000 kr.","8.427 kr.","6.728 kr.",NA,"10 m²",NA,NA,NA
"95","5610 Assens","2022-08-12","123 m²","124 m²","681 m²","4/3","2","1875","B","1.700 kr.","10.444 kr.","400 dage",NA,"65.000 kr.","7.103 kr.","5.677 kr.","1950",NA,NA,NA,NA
"96","5610 Assens","2022-08-12","157 m²","198 m²","762 m²","5/3","2","1964","F","2.231 kr.","10.581 kr.","535 dage",NA,"105.000 kr.","10.455 kr.","8.553 kr.",NA,"130 m²",NA,NA,NA
"97","5610 Assens","2022-08-12","165 m²","114 m²","1.000 m²","7/4","1","1861","E","1.192 kr.","9.605 kr.","446 dage",NA,"55.000 kr.","5.445 kr.","4.453 kr.",NA,NA,NA,NA,NA
"98","5610 Assens","2022-08-12","232 m²",NA,"816 m²","10/7","3","1911","C","2.143 kr.","12.047 kr.","121 dage","Vis historik","140.000 kr.","14.786 kr.","11.817 kr.","1999",NA,NA,NA,NA
"99","5610 Assens","2022-08-12","285 m²","284 m²","2.131 m²","6/5","2","1850","C",NA,NA,NA,"Vis historik","105.000 kr.","11.124 kr.","8.882 kr.","1996",NA,NA,NA,NA
"100","5610 Assens","2022-08-12","228 m²","252 m²","2.080 m²","7/5","1","1974","C","3.068 kr.","10.516 kr.","127 dage",NA,"135.000 kr.","14.026 kr.","11.210 kr.",NA,"32 m²",NA,NA,NA
"101","5610 Assens","2022-08-12","102 m²","128 m²","869 m²","3/2","3","1946","G","1.207 kr.","4.297 kr.","211 dage",NA,"30.000 kr.","2.784 kr.","2.276 kr.",NA,"60 m²",NA,NA,NA
"102","5610 Assens","2022-08-12","163 m²","174 m²","952 m²","4/3","1","2012","A2",NA,NA,NA,"Vis historik","165.000 kr.","17.490 kr.","13.967 kr.",NA,NA,NA,NA,NA
"103","5610 Assens","2022-08-12","114 m²","135 m²","995 m²","3/2","2","1890","D","1.320 kr.","5.148 kr.","98 dage",NA,"35.000 kr.","3.733 kr.","2.980 kr.",NA,NA,NA,NA,NA
"104","5610 Assens","2022-08-12","188 m²","216 m²","1.204 m²","6/4","2","1965","E","2.526 kr.","11.551 kr.","92 dage",NA,"125.000 kr.","13.291 kr.","10.622 kr.",NA,"65 m²",NA,NA,NA
"105","5610 Assens","2022-08-12","188 m²",NA,"916 m²","6/4","2","1963","C","2.336 kr.","7.952 kr.","122 dage",NA,"75.000 kr.","8.140 kr.","6.505 kr.","1973",NA,NA,NA,NA
"106","5610 Assens","2022-08-12","101 m²","141 m²","791 m²","4/3","2","1965","D","1.682 kr.","6.028 kr.","504 dage",NA,"45.000 kr.","4.517 kr.","3.607 kr.",NA,"101 m²",NA,NA,NA
"107","6440 Augustenborg","2022-08-12","151 m²","170 m²","1.091 m²","5/3","1","1849","D",NA,NA,NA,NA,"35.000 kr.","3.462 kr.","2.778 kr.",NA,"6 m²",NA,NA,NA
"108","6440 Augustenborg","2022-08-12","108 m²",NA,"400 m²","5/3","2","1882","E","1.757 kr.","8.287 kr.","294 dage",NA,"45.000 kr.","4.781 kr.","3.833 kr.","1996",NA,NA,NA,NA
"109","6440 Augustenborg","2022-08-12","131 m²","135 m²","716 m²","4/2","1","2001","C","1.852 kr.","14.778 kr.","210 dage",NA,"100.000 kr.","10.582 kr.","8.487 kr.",NA,NA,NA,NA,NA
"110","6440 Augustenborg","2022-08-12","136 m²","179 m²","884 m²","5/4","2","1727",NA,"1.489 kr.","3.324 kr.","1.417 dage",NA,"30.000 kr.","3.215 kr.","2.580 kr.",NA,NA,NA,NA,NA
"111","6440 Augustenborg","2022-08-12","134 m²","152 m²","468 m²","4/3","1","1985",NA,"2.190 kr.","8.520 kr.","4.719 dage",NA,"65.000 kr.","6.932 kr.","5.564 kr.",NA,NA,NA,NA,NA
"112","6440 Augustenborg","2022-08-12","148 m²","186 m²","968 m²","4/3","1","1967","D","1.534 kr.","5.349 kr.","525 dage",NA,"50.000 kr.","5.328 kr.","4.276 kr.","1976","85 m²",NA,NA,NA
"113","6440 Augustenborg","2022-08-12","214 m²","220 m²","772 m²","6/5","2","1887","C","1.961 kr.","6.795 kr.","184 dage",NA,"75.000 kr.","7.968 kr.","6.396 kr.","2001",NA,NA,NA,NA
"114","7490 Aulum","2022-08-12","89 m²","94 m²","5.541 m²","3/2","3","1960","F",NA,NA,NA,"Vis historik","35.000 kr.","3.447 kr.","2.782 kr.",NA,"16 m²",NA,NA,NA
"115","8963 Auning","2022-08-12","128 m²","138 m²","1.379 m²","3/2","3","1952","E","1.238 kr.","4.891 kr.","2.300 dage",NA,"35.000 kr.","3.624 kr.","2.893 kr.",NA,"12 m²",NA,NA,NA
"116","5602 Avernakø","2022-08-12","312 m²","422 m²","15.400 m²","11/8","2","1863","C","2.368 kr.","7.097 kr.","170 dage","Vis historik","150.000 kr.","15.884 kr.","12.676 kr.","2001",NA,NA,NA,NA
"117","2880 Bagsværd","2022-08-12","114 m²","147 m²","744 m²","3/3","3","1953","G","4.539 kr.","30.231 kr.","252 dage",NA,"225.000 kr.","25.577 kr.","20.606 kr.","1965","71 m²",NA,NA,NA
"118","2880 Bagsværd","2022-08-12","177 m²","183 m²","861 m²","7/5","1","2004","B","4.749 kr.","34.672 kr.","170 dage",NA,"320.000 kr.","33.439 kr.","27.383 kr.","2014",NA,NA,NA,NA
"119","2880 Bagsværd","2022-08-12","184 m²","187 m²","1.037 m²","6/3","2","1952","C","7.030 kr.","58.797 kr.","104 dage",NA,"550.000 kr.","57.917 kr.","47.429 kr.","2009",NA,NA,NA,NA
"120","6622 Bække","2022-08-12","170 m²","199 m²","1.314 m²","6/4","3","1949","G","1.877 kr.","7.010 kr.","111 dage","Vis historik","70.000 kr.","7.629 kr.","6.143 kr.","1991","54 m²",NA,NA,NA
"121","7660 Bækmarksbro","2022-08-12","115 m²","130 m²","1.259 m²","5/4","3","1935","F","986 kr.","2.885 kr.","122 dage",NA,"25.000 kr.","1.851 kr.","1.519 kr.",NA,"4 m²",NA,NA,NA
"122","7660 Bækmarksbro","2022-08-12","121 m²","125 m²","875 m²","5/3","1","1983","B","1.199 kr.","5.880 kr.","141 dage","Vis historik","40.000 kr.","3.585 kr.","2.941 kr.",NA,NA,NA,NA,NA
"123","7660 Bækmarksbro","2022-08-12","158 m²","171 m²","2.564 m²","5/4","1","1966","D","1.392 kr.","4.942 kr.","330 dage","Vis historik","45.000 kr.","4.909 kr.","3.866 kr.",NA,NA,NA,NA,NA
"124","8444 Balle","2022-08-12","110 m²","116 m²","413 m²","5/4","3","1905","C","1.195 kr.","5.043 kr.","456 dage","Vis historik","30.000 kr.","3.150 kr.","2.519 kr.",NA,"11 m²",NA,NA,NA
"125","9574 Bælum","2022-08-12","148 m²","145 m²","1.661 m²","5/4","2","1900","F","1.173 kr.","4.448 kr.","188 dage","Vis historik","35.000 kr.","3.466 kr.","2.781 kr.","1983",NA,NA,NA,NA
